Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,ABB India Limited,ABB,ABB India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1,INE208C01025,Oil Marketing & Distribution,Equity
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1,INE885A01032,Auto Parts & Equipment,Equity
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10,INE432A01017,Pharmaceuticals,Equity
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2,INE001A01036,Housing Finance ,Equity
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,XT,10,INE714B01016,Commodity Chemicals,Equity
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5,INE436A01026,Realty,Equity
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Finance (including NBFCs),Equity
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10,INE957C01019,Hotels,Equity
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2,INE032A01023,Textiles,Equity
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10,INE363A01022,Hotels,Equity
500027,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10,INE447A01015,Construction & Engineering,Equity
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2,INE193E01025,Household Appliances,Equity
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,T ,1,INE306A01021,Sugar,Equity
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10,INE451A01017,Cars & Utility Vehicles,Equity
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Finance (including NBFCs),Equity
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN*,BALRAMPUR CHINI MILLS LTD.,Active,A ,1,INE119A01028,Sugar,Equity
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2,INE213C01025,Auto Parts & Equipment,Equity
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10,INE459A01010,Sugar,Equity
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5,INE176A01028,Footwear,Equity
500048,BEML Ltd,BEML,BEML LTD.,Active,A ,10,INE258A01016,Commercial Vehicles,Equity
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1,INE263A01024,Defence,Equity
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1,INE922A01025,Specialty Chemicals,Equity
500055,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Active,T ,2,INE824B01021,Iron & Steel/Interm.Products,Equity
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10,INE819C01011,Iron & Steel/Interm.Products,Equity
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2,INE472A01039,Consumer Electronics,Equity
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10,INE131C01011,Industrial Machinery,Equity
500069,BNK Capital Markets Ltd.,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,X ,10,INE418C01012,Other Financial Services,Equity
500074,"BPL Ltd.,",BPL,BPL LTD.,Active,T ,10,INE110A01019,Consumer Electronics,Equity
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5,INE959C01023,Specialty Chemicals,Equity
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1,INE281A01026,Aluminium,Equity
500084,"CESC Limited,",CESC,CESC LTD.,Active,A ,1,INE486A01021,Electric Utilities,Equity
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10,INE085A01013,Fertilizers,Equity
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1,INE302A01020,Auto Parts & Equipment,Equity
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2,INE059A01026,Pharmaceuticals,Equity
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10,INE303A01010,Specialty Chemicals,Equity
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1,INE007A01025,Other Financial Services,Equity
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,T ,2,INE067A01029,Heavy Electrical Equipment,Equity
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1,INE016A01026,Personal Products,Equity
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2,INE495A01022,Sugar,Equity
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10,INE034A01011,Textiles,Equity
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,2,INE294A01037,Paper & Paper Products,Equity
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2,INE257A01026,Heavy Electrical Equipment,Equity
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10,INE094A01015,Refineries/ Petro-Products,Equity
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10,INE039A01010,Financial Institutions,Equity
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10,INE153A01019,Telecom Services,Equity
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10,INE103A01014,Refineries/ Petro-Products,Equity
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10,INE178A01016,Refineries/ Petro-Products,Equity
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10,INE013A01015,Finance (including NBFCs),Equity
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1,INE062A01020,Banks,Equity
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10,INE114A01011,Iron & Steel/Interm.Products,Equity
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1,INE280A01028,Other Apparels & Accessories,Equity
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10,INE008A01015,Banks,Equity
500117,"DCW Ltd.,",DCW,DCW LTD.,Active,B ,2,INE500A01029,Commodity Chemicals,Equity
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10,INE041A01016,Sugar,Equity
500120,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,10,INE591D01014,Specialty Chemicals,Equity
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A ,10,INE280B01018,Commodity Chemicals,Equity
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5,INE089A01023,Pharmaceuticals,Equity
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1,INE126A01031,Sugar,Equity
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10,INE199A01012,Pharmaceuticals,Equity
500128,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1,INE086A01029,Other Industrial Products,Equity
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10,INE284A01012,Other Industrial Goods,Equity
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2,INE255A01020,Containers & Packaging,Equity
500136,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Active,B ,5,INE778B01029,Containers & Packaging,Equity
500143,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Active,XT,10,INE160F01013,Comm.Trading  & Distribution,Equity
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2,INE235A01022,Other Elect.Equip./ Prod.,Equity
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,X ,10,INE515A01019,Industrial Machinery,Equity
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,A ,10,INE516A01017,Containers & Packaging,Equity
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10,INE519A01011,Commodity Chemicals,Equity
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,B ,10,INE973A01010,Cigarettes-Tobacco Products,Equity
500153,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,Active,B ,1,INE388A01029,Commodity Chemicals,Equity
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,X ,10,INE085D01033,Paper & Paper Products,Equity
500160,GTL Ltd,GTL,GTL LTD.,Active,T ,10,INE043A01012,Other Telecom Services,Equity
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2,INE260B01028,Cigarettes-Tobacco Products,Equity
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1,INE233A01035,Packaged Foods,Equity
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1,INE531A01024,Furniture-Furnishing-Paints,Equity
500166,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,Active,X ,10,INE300A01016,Tea & Coffee,Equity
500168,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Active,A ,10,INE533A01012,Auto Tyres & Rubber Products,Equity
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Active,XT,10,INE537A01013,Textiles,Equity
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10,INE539A01019,Commodity Chemicals,Equity
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,A ,1,INE538A01037,Holding Companies,Equity
500174,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,Active,B ,10,INE540A01017,Finance (including NBFCs),Equity
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B ,2,INE236A01020,Computer Hardware,Equity
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1,INE040A01034,Banks,Equity
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2,INE158A01026,2/3 Wheelers,Equity
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,T ,1,INE548A01028,Telecom Cables,Equity
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1,INE019C01026,Specialty Chemicals,Equity
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1,INE549A01026,Construction & Engineering,Equity
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10,INE345A01011,Exploration & Production,Equity
500187,HSIL Limited,HSIL,HSIL LTD.,Active,B ,2,INE415A01038,Containers & Packaging,Equity
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2,INE267A01025,Zinc,Equity
500189,NXTDIGITAL LIMITED ,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10,INE353A01023,Broadcasting & Cable TV,Equity
500191,HMT Limited,HMT,HMT LTD.,Active,Z ,10,INE262A01018,Commercial Vehicles,Equity
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10,INE962B01011,Textiles,Equity
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B ,2,INE102A01024,Hotels,Equity
540530,Housing &Urban Development Corporation Ltd.,HUDCO,Housing & Urban Development Corporation Ltd,Active,A ,10,INE031A01017,Housing Finance ,Equity
540544,PSP Projects Limited,PSPPROJECT,PSP Projects Ltd,Active,A ,10,INE488V01015,Realty,Equity
540545,Bhakti Gems And Jewellery Limited,BGJL,Bhakti Gems and Jewellery Ltd,Active,B ,10,INE986W01016,Other Apparels & Accessories,Equity
540550,Yug Decor Limited,YUG,Yug Decor Ltd,Active,M ,10,INE796W01019,Specialty Chemicals,Equity
540570,VARIMAN GLOBAL ENTERPRISES LIMITED,VARIMAN,Variman Global Enterprises Ltd,Active,X ,10,INE717F01010,Comm.Trading  & Distribution,Equity
540575,Star Cement Limited,STARCEMENT,Star Cement Ltd,Active,A ,1,INE460H01021,Cement & Cement Products,Equity
540590,Riddhi Corporate Services Limited,RIDDHICORP,Riddhi Corporate Services Ltd,Active,T ,10,INE325X01015,BPO/KPO,Equity
540591,HDFC Mutual Fund,HEOFDG1126,HDFC EOF- II- 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund- Series 2- Direct,Active,B ,10,INF179KC1AF4,-,Equity
540592,HDFC Mutual Fund,HEOFDD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Direct,Active,B ,10,INF179KC1AG2,-,Equity
540593,HDFC Mutual Fund,HEOFRG1126,HDFC EOF- II - 1126D May 2017(1) plan under HDFC Equity Opportunities Fund - Series2 - Regular,Active,B ,10,INF179KC1AH0,-,Equity
540594,HDFC Mutual Fund,HEOFRD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Regular,Active,B ,10,INF179KC1AI8,-,Equity
540595,Tejas Networks Limited,TEJASNET,Tejas Networks Ltd,Active,A ,10,INE010J01012,Other Telecom Services,Equity
540596,Eris Lifesciences Limited,ERIS,Eris Lifesciences Ltd,Active,A ,1,INE406M01024,Pharmaceuticals,Equity
540602,GTPL Hathway Limited,GTPL,GTPL Hathway Ltd,Active,B ,10,INE869I01013,Other Telecom Services,Equity
540611,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10,INE949L01017,Banks,Equity
540612,ICICI Prudential Mutual Fund,ICICILOVOL,ICICI Prudential Nifty Low Vol 30 ETF,Active,B ,10,INF109KB10T8,-,Equity
540613,Gautam Exim Limited,GEL,Gautam Exim Ltd,Active,M ,10,INE721X01015,Comm.Trading  & Distribution,Equity
540614,G G Engineering Limited,GGENG,G G Engineering Ltd,Active,B ,2,INE694X01022,Heavy Electrical Equipment,Equity
540615,7NR Retail Limited,7NR,7NR Retail Ltd,Active,B ,10,INE413X01019,Specialty Retail,Equity
540621,Bhagyanagar Properties Ltd,BHAGYAPROP,Bhagyanagar Properties Ltd,Active,B ,2,INE363W01018,Realty,Equity
540634,HDFC Mutual Fund,HEOFDG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-GROWTH OPTION,Active,B ,10,INF179KC1AJ6,-,Equity
540635,HDFC Mutual Fund,HEOFDD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-DIVIDEND PAYOUT OPTION,Active,B ,10,INF179KC1AK4,-,Equity
540636,HDFC Mutual Fund,HEOFRG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-GROWTH OPTION,Active,B ,10,INF179KC1AL2,-,Equity
540637,HDFC Mutual Fund,HEOFRD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-DIVIDEND PAYOUT OPTION,Active,B ,10,INF179KC1AM0,-,Equity
540642,Salasar Techno Engineering Limited,SALASAR,Salasar Techno Engineering Ltd,Active,B ,10,INE170V01019,Construction & Engineering,Equity
540647,Ganges Securities Ltd.,GANGESSEC,Ganges Securities Ltd,Active,B ,10,INE335W01016,Investment Companies,Equity
540648,Palash Securities Limited,PALASHSEC,Palash Securities Ltd,Active,B ,10,INE471W01019,Real Estate Investment,Equity
540649,AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,Avadh Sugar & Energy Ltd,Active,B ,10,INE349W01017,Sugar,Equity
540650,Magadh Sugar & Energy Limited,MAGADHSUGAR,Magadh Sugar & Energy Ltd,Active,B ,10,INE347W01011,Sugar,Equity
540651,Jigar Cables Limited,JIGAR,Jigar Cables Ltd,Active,M ,10,INE943X01015,Other Elect.Equip./ Prod.,Equity
540652,Captain Technocast Limited,CTCL,Captain Technocast Ltd,Active,M ,10,INE931X01010,Other Industrial Goods,Equity
